symbol,exchange,name,zacksRankText,summary1DStatus,summary1WStatus,summary1MStatus
AKRO,NASDAQ,"Akero Therapeutics, Inc.",Buy,Strong Buy,Strong Buy,Strong Buy
AXU,AMEX,Alexco Resource Corp,Buy,Strong Buy,Strong Buy,Strong Buy
BLU,NASDAQ,Bellus Health Inc.,Buy,Strong Buy,Strong Buy,Buy
BQH,NYSE,BlackRock New York Municipal Bond Trust,,Strong Buy,Strong Buy,Buy
BSCR,NASDAQ,Invesco BulletShares 2027 Corporate Bond ETF,Buy,Strong Buy,Strong Buy,Strong Buy
BTAL,AMEX,AGFiQ US Market Neutral AntiBeta ETF,,Strong Buy,Strong Buy,Buy
CCH,NYSE,Collier Creek Holdings,,Strong Buy,Strong Buy,Buy
CVM,AMEX,CelSci Corporation,,Strong Buy,Strong Buy,Buy
DBP,AMEX,Invesco DB Precious Metals ETF,Hold,Strong Buy,Strong Buy,Buy
EGF,NYSE,"BlackRock Enhanced Government Fund, Inc.",,Strong Buy,Strong Buy,Buy
FPXE,NASDAQ,First Trust IPOX Europe Equity Opportunities ETF,,Strong Buy,Strong Buy,Buy
FUMB,AMEX,First Trust Ultra Short Duration Municipal ETF,,Strong Buy,Strong Buy,Buy
GLTR,AMEX,Aberdeen Standard Physical Precious Metals Basket Shares ETF,Hold,Strong Buy,Strong Buy,Buy
GROW,NASDAQ,"U.S. Global Investors, Inc.",,Strong Buy,Strong Buy,Buy
GRWG,NASDAQ,GrowGeneration Corp.,,Strong Buy,Strong Buy,Strong Buy
IBML,AMEX,iShares iBonds Dec 2023 Term Muni Bond ETF,Sell,Strong Buy,Strong Buy,Strong Buy
ICLK,NASDAQ,iClick Interactive Asia Group Ltd.,Buy,Strong Buy,Strong Buy,Buy
IMKTA,NASDAQ,"Ingles Markets, Incorporated",Hold,Strong Buy,Strong Buy,Buy
IMRA,NASDAQ,IMARA Inc.,Hold,Strong Buy,Strong Buy,Neutral
JD,NASDAQ,"JD.com, Inc.",Hold,Strong Buy,Strong Buy,Buy
KMED,AMEX,KraneShares Emerging Markets Healthcare Index ETF,Sell,Strong Buy,Strong Buy,Buy
KURE,AMEX,KraneShares MSCI All China Health Care Index ETF,,Strong Buy,Strong Buy,Buy
LCA,NASDAQ,"Landcadia Holdings II, Inc.",,Strong Buy,Strong Buy,Neutral
LINC,NASDAQ,Lincoln Educational Services Corporation,Buy,Strong Buy,Strong Buy,Strong Buy
LSST,AMEX,Natixis Loomis Sayles Short Duration Income ETF,,Strong Buy,Strong Buy,Buy
NOM,NYSE,Nuveen Missouri Quality Municipal Income Fund,,Strong Buy,Strong Buy,Buy
OFLX,NASDAQ,"Omega Flex, Inc.",,Strong Buy,Strong Buy,Buy
RPAY,NASDAQ,"Thunder Bridge Acquisition, Ltd.",Buy,Strong Buy,Strong Buy,Strong Buy
SMB,AMEX,VanEck Vectors AMTFree Short Municipal Index ETF,Hold,Strong Buy,Strong Buy,Buy
SUB,AMEX,iShares ShortTerm National Muni Bond ETF,Hold,Strong Buy,Strong Buy,Strong Buy
UI,NYSE,Ubiquiti Inc.,,Strong Buy,Strong Buy,Buy
VNLA,AMEX,Janus Henderson Short Duration Income ETF,,Strong Buy,Strong Buy,Neutral
WIX,NASDAQ,Wix.com Ltd.,Hold,Strong Buy,Strong Buy,Strong Buy
